796351,1,2020-02-21,Vente,224000,15,RUE,0800,DU PONT,77640,JOUARRE,77,238,AK,461,,0,1.0,Maison,160,6,S,173
796352,1,2020-05-03,Vente,145000,6,RUE,0300,DE LA GARE,77120,COULOMMIERS,77,131,AR,198,30.0,1,2.0,Appartement,63,3,,
796353,1,2020-05-03,Vente,145000,6,RUE,0300,DE LA GARE,77120,COULOMMIERS,77,131,AR,198,58.0,1,3.0,Dépendance,0,0,,
796354,1,2020-11-03,Vente,250000,20,RUE,0260,DE CONDE,77450,MONTRY,77,315,A,1403,,0,1.0,Maison,270,7,S,500
796355,1,2020-11-03,Vente,250000,20,RUE,0260,DE CONDE,77450,MONTRY,77,315,A,1403,,0,1.0,Maison,270,7,BT,1315
796356,1,2020-11-03,Vente,250000,20,RUE,0260,DE CONDE,77450,MONTRY,77,315,A,1403,,0,1.0,Maison,270,7,J,3182
796357,1,2020-06-03,Vente,110000,1,BD,0510,PASTEUR,77260,LA FERTE SOUS JOUARRE,77,183,BC,56,422.0,1,4.0,Local industriel. commercial ou assimilé,8,0,,
796358,1,2020-06-03,Vente,110000,1,BD,0510,PASTEUR,77260,LA FERTE SOUS JOUARRE,77,183,BC,56,206.0,1,4.0,Local industriel. commercial ou assimilé,45,0,,
796359,1,2020-09-03,Vente,240000,17,RUE,0640,DU TOUARTE,77580,VILLIERS-SUR-MORIN,77,521,AD,436,,0,1.0,Maison,150,6,S,330
796360,1,2020-06-03,Vente,279000,1,RUE,0060,DE LA CROIX,77750,BUSSIERES,77,57,A,44,,0,1.0,Maison,98,4,S,938
796361,1,2020-03-03,Vente,218000,14,RUE,0260,DE LA COURANDAINE,77169,BOISSY-LE-CHATEL,77,42,AI,429,,0,1.0,Maison,84,5,S,500
796362,1,2020-03-03,Vente,218000,14,RUE,0260,DE LA COURANDAINE,77169,BOISSY-LE-CHATEL,77,42,AI,429,,0,1.0,Maison,84,5,AG,176
796363,1,2020-02-03,Vente,349714,18,RUE,0336,ERNEST LEGENRE,77860,QUINCY-VOISINS,77,382,AW,370,,0,1.0,Maison,112,4,S,582
796364,1,2020-02-28,Vente,200000,10,RUE,0200,DE PAVANT,77730,CITRY,77,117,F,1105,,0,1.0,Maison,102,3,S,196
796365,1,2020-02-27,Vente,463200,7,IMP,0147,DU CLOS DES RHESNES,77860,SAINT-GERMAIN-SUR-MORIN,77,413,ZB,92,,0,1.0,Maison,142,7,S,500
796366,1,2020-02-27,Vente,463200,7,IMP,0147,DU CLOS DES RHESNES,77860,SAINT-GERMAIN-SUR-MORIN,77,413,ZB,92,,0,1.0,Maison,142,7,AG,104
796367,1,2020-05-03,Vente,157000,4,PL,0740,DE LA MAIRIE,77450,CONDE-SAINTE-LIBIAIRE,77,125,B,1082,2.0,1,2.0,Appartement,61,3,,
796368,1,2020-03-17,Vente,140000,4,GR,0040,GRANDE RUE,77580,LA HAUTE-MAISON,77,225,A,333,,0,1.0,Maison,80,4,S,500
796369,1,2020-03-17,Vente,140000,4,GR,0040,GRANDE RUE,77580,LA HAUTE-MAISON,77,225,A,333,,0,1.0,Maison,80,4,AG,130
796370,1,2020-02-25,Vente,108000,6,RUE,0454,DES PRES VALOIS,77120,BEAUTHEIL-SAINTS,77,433,E,934,,0,3.0,Dépendance,0,0,S,543
796371,1,2020-03-13,Vente,130000,3,RUE,0560,DE MELUN,77860,SAINT-GERMAIN-SUR-MORIN,77,413,AE,182,1.0,2,4.0,Local industriel. commercial ou assimilé,65,0,,
796372,1,2020-03-13,Vente,130000,3,RUE,0560,DE MELUN,77860,SAINT-GERMAIN-SUR-MORIN,77,413,AE,182,9.0,1,3.0,Dépendance,0,0,,
796373,1,2020-03-13,Vente,130000,3,RUE,0560,DE MELUN,77860,SAINT-GERMAIN-SUR-MORIN,77,413,AE,182,10.0,1,3.0,Dépendance,0,0,,
796374,1,2020-02-28,Vente,212000,8,RUE,0260,DE LA FERTE SOUS JOUARRE,77138,LUZANCY,77,265,ZA,205,,0,1.0,Maison,81,5,S,500
796375,1,2020-02-28,Vente,212000,8,RUE,0260,DE LA FERTE SOUS JOUARRE,77138,LUZANCY,77,265,ZA,205,,0,1.0,Maison,81,5,AG,753
796376,1,2020-03-13,Vente,247000,2,RUE,1400,DU PARC,77450,ESBLY,77,171,F,1057,,0,1.0,Maison,62,4,S,56
796377,1,2020-02-26,Vente,260000,5,RUE,0085,DES JARDINS,77515,HAUTEFEUILLE,77,224,B,234,,0,1.0,Maison,115,5,S,262
796378,1,2020-02-28,Vente,132200,29,COUR,0455,DU HAUT,77640,JOUARRE,77,238,C,250,,0,1.0,Maison,57,2,S,28
796379,1,2020-02-26,Vente,375000,9,RUE,0268,DE L OURSINE,77120,MAUPERTHUIS,77,281,A,231,,0,1.0,Maison,130,5,S,846
796380,1,2020-11-03,Vente,93822,5,PL,0255,DES FAUVETTES,77120,COULOMMIERS,77,131,AS,374,,0,1.0,Maison,98,5,S,231
